Código,"Nome da Empresa","Setor de Atuação","Receita Total"
262,"Leucadia National Corporation",Finanças,10875
263,"Entergy Corporation",Energia,10846
264,"PayPal Holdings, Inc.","Prestação de Serviços",10842
265,"Applied Materials, Inc.",Tecnologia,10825
266,"Voya Financial, Inc.",Finanças,10782
267,"Mastercard Incorporated","Prestação de Serviços",10776
268,"The Priceline Group Inc.",Tecnologia,10743
269,"Liberty Interactive Corporation",Varejo,10647
270,"AutoZone, Inc.",Varejo,10636
271,"State Street Corporation",Finanças,10635
272,"DTE Energy Company",Energia,10630
273,"L3 Technologies, Inc.","Aeroespacial e Defesa",10597
274,"HollyFrontier Corporation",Energia,10536
275,"Praxair, Inc.","Produtos químicos",10534
276,"Universal Health Services, Inc.","Assistência médica",10508
277,"Discover Financial Services",Finanças,10497
278,"Occidental Petroleum Corporation",Energia,10398
279,"United States Steel Corporation",Materiais,10261
280,"Sempra Energy",Energia,10183
281,"Baxter International Inc.","Assistência médica",10163
282,"W.W. Grainger, Inc.",Atacadista,10137
283,"Autoliv, Inc.","Veículos motorizados",10074
284,"Norfolk Southern Corporation",Transporte,9888
285,"Baker Hughes Incorporated",Energia,9841
286,"Ally Financial Inc.",Finanças,9835
287,"Sonic Automotive, Inc",Varejo,9732
288,"Owens & Minor, Inc.",Atacadista,9723
289,"Huntsman Corporation","Produtos químicos",9657
290,"Laboratory Corporation of America Holdings","Assistência médica",9642
291,"Murphy USA Inc.",Varejo,9633
292,"Advance Auto Parts, Inc.",Varejo,9568
293,"Fidelity National Financial, Inc.",Finanças,9554
294,"Air Products & Chemicals, Inc.","Produtos químicos",9524
295,"Hormel Foods Corporation","Alimentos, Bebidas e Tabaco",9523
296,"Hertz Global Holdings, Inc.",Varejo,9480
297,"MGM Resorts International","Hotéis, Restaurantes e Lazer",9455
298,"Corning Incorporated",Industrial,9390
299,"Republic Services, Inc.","Prestação de Serviços",9388
300,"Alcoa Corporation",Materiais,9318
301,"Fidelity National Information Services, Inc.","Prestação de Serviços",9241
302,"Pacific Life",Finanças,9169
303,"SunTrust Banks, Inc.",Finanças,9161
304,"LKQ Corporation",Atacadista,9082
305,"BorgWarner Inc.","Veículos motorizados",9071
306,"Ball Corporation",Materiais,9061
307,"CST Brands, Inc.",Varejo,9061
308,"Public Service Enterprise Group Incorporated",Energia,9061
309,"Eastman Chemical Company","Produtos químicos",9008
310,"eBay Inc.",Tecnologia,8979
311,"Mohawk Industries, Inc.","Produtos para o lar",8959
312,"ONEOK, Inc.",Energia,8921
313,"Frontier Communications Corporation",Telecomunicações,8896
314,"Netflix, Inc.",Tecnologia,8831
315,"American Family Insurance Group",Finanças,8829
316,"Thrivent Financial for Lutherans",Finanças,8777
317,"Expedia, Inc.",Tecnologia,8774
318,"Lithia Motors, Inc.",Varejo,8678
319,"Avis Budget Group, Inc.",Varejo,8659
320,"Reliance Steel & Aluminum Co.",Materiais,8613
321,"GameStop Corp.",Varejo,8608
322,"Tenneco Inc.","Veículos motorizados",8599
323,"O'Reilly Automotive, Inc.",Varejo,8593
324,"Peter Kiewit Sons', Inc.","Engenharia e Construção",8573
325,"United Natural Foods, Inc.",Atacadista,8470
326,"salesforce.com, inc.",Tecnologia,8392
327,"Boston Scientific Corporation","Assistência médica",8386
328,"Newmont Mining Corporation",Energia,8379
